1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
26.421,23.352,28.019,0.084,-0.058,0.034,-0.007,0.019,-0.014,0.440,0.484,0.442,,,,,,
25.606,22.534,27.180,0.025,-0.081,0.002,-0.004,0.007,-0.020,0.335,0.358,0.296,,,,,,
25.150,22.044,26.972,-0.011,-0.008,-0.121,-0.010,0.015,0.027,0.507,0.455,0.659,,,,,,
24.933,21.837,25.483,-0.398,-0.280,-0.397,-0.003,0.022,0.002,-0.098,0.026,-0.060,,,,,,
23.432,23.443,26.558,0.089,0.077,0.026,-0.024,-0.028,-0.024,0.311,0.258,0.412,,,,,,
25.108,23.359,26.205,-0.038,-0.077,-0.076,0.025,0.006,0.012,0.502,0.473,0.584,,,,,,
27.330,25.154,27.910,0.121,0.067,0.090,-0.008,-0.007,-0.014,0.316,0.384,0.411,,,,,,
25.614,23.436,28.069,0.022,0.097,0.132,-0.038,-0.028,-0.063,0.308,0.296,0.228,,,,,,
28.503,23.726,28.023,0.131,0.147,0.140,-0.016,-0.017,-0.036,0.141,0.180,0.129,,,,,,
26.460,24.303,28.619,0.105,0.003,0.129,-0.011,-0.019,-0.066,0.358,0.331,0.223,,,,,,
25.094,22.987,27.970,-0.082,-0.096,-0.049,0.001,0.004,0.004,0.492,0.510,0.588,,,,,,
27.732,22.931,27.564,0.049,-0.043,-0.002,-0.009,0.016,-0.009,0.384,0.452,0.399,,,,,,
25.701,23.866,28.472,-0.061,-0.069,0.030,0.012,0.016,-0.017,0.520,0.510,0.439,,,,,,
29.038,23.396,26.516,0.177,0.056,0.126,0.000,-0.015,-0.027,0.260,0.408,0.394,,,,,,
27.283,22.485,27.691,-0.037,-0.092,-0.069,-0.012,0.017,0.014,0.429,0.459,0.561,,,,,,
25.111,23.424,26.375,-0.194,-0.181,-0.232,0.027,0.013,0.025,0.590,0.556,0.650,,,,,,
25.607,24.308,28.778,0.055,0.024,0.155,-0.032,-0.015,-0.050,0.334,0.316,0.255,,,,,,
29.874,24.309,26.528,0.141,0.117,0.048,-0.019,-0.015,-0.021,0.281,0.313,0.450,,,,,,
27.278,23.846,26.690,0.019,0.017,0.065,0.001,-0.012,-0.040,0.439,0.385,0.415,,,,,,
25.899,22.490,26.647,-0.044,-0.042,-0.184,0.012,0.019,0.027,0.541,0.450,0.679,,,,,,
26.034,24.258,28.267,0.105,-0.047,0.154,-0.030,-0.010,-0.040,0.346,0.436,0.337,,,,,,
27.286,22.946,26.227,0.034,-0.056,-0.076,0.000,0.019,0.002,0.423,0.426,0.585,,,,,,
22.926,22.142,25.589,-0.249,-0.227,-0.238,0.014,0.028,0.014,0.551,0.515,0.605,,,,,,
26.833,23.375,26.936,0.067,0.024,-0.183,0.013,-0.001,0.018,0.467,0.446,0.638,,,,,,
25.627,23.886,27.488,0.184,0.127,0.167,-0.051,-0.049,-0.044,0.234,0.208,0.295,,,,,,
25.566,22.989,26.412,0.053,-0.112,-0.083,0.003,0.026,0.008,0.427,0.510,0.599,,,,,,
24.657,22.703,26.407,-0.137,-0.083,0.012,-0.003,0.026,0.003,0.547,0.528,0.563,,,,,,
27.761,23.431,26.452,0.143,0.008,0.079,-0.007,-0.017,-0.038,0.299,0.316,0.343,,,,,,
25.125,24.296,27.564,-0.062,-0.035,-0.007,0.016,0.002,-0.008,0.441,0.353,0.465,,,,,,
25.959,23.843,28.195,-0.010,0.035,0.192,-0.009,-0.021,-0.049,0.490,0.392,0.279,,,,,,
27.332,24.315,28.334,0.110,0.027,0.170,-0.046,-0.030,-0.053,0.310,0.286,0.235,,,,,,
26.480,22.532,25.191,0.159,0.060,-0.036,-0.013,-0.009,-0.008,0.294,0.365,0.489,,,,,,
26.757,23.843,26.250,-0.032,-0.011,-0.035,0.012,0.000,-0.004,0.581,0.390,0.521,,,,,,
27.338,23.871,27.445,0.015,0.104,0.092,-0.026,-0.018,-0.034,0.285,0.315,0.340,,,,,,
26.838,23.871,26.942,0.022,0.035,-0.046,0.003,-0.019,-0.025,0.460,0.314,0.497,,,,,,
26.443,22.915,27.257,-0.018,-0.014,-0.009,0.001,0.001,-0.010,0.507,0.478,0.547,,,,,,
23.871,23.446,26.801,0.075,0.119,0.003,-0.028,-0.033,-0.028,0.312,0.224,0.421,,,,,,
26.482,24.313,27.944,0.170,0.072,0.119,-0.040,-0.023,-0.048,0.284,0.295,0.251,,,,,,
23.436,23.005,27.486,0.156,0.112,0.173,-0.034,-0.031,-0.046,0.297,0.221,0.224,,,,,,
24.274,22.057,25.412,-0.071,-0.045,-0.187,-0.008,0.017,0.016,0.406,0.432,0.610,,,,,,
29.042,23.855,26.983,0.201,0.110,0.039,-0.009,0.008,-0.010,0.229,0.361,0.441,,,,,,
25.622,23.881,27.850,0.121,0.084,0.242,-0.042,-0.027,-0.056,0.270,0.267,0.209,,,,,,
26.435,23.417,27.944,-0.004,0.006,0.073,-0.018,-0.019,-0.044,0.415,0.358,0.339,,,,,,
25.103,25.139,28.212,-0.038,0.032,0.042,0.000,-0.004,-0.013,0.478,0.416,0.470,,,,,,
27.772,23.883,28.669,0.223,0.150,0.123,-0.066,-0.046,-0.048,0.222,0.252,0.251,,,,,,
26.852,22.951,27.459,0.060,-0.001,-0.077,-0.007,-0.003,0.001,0.436,0.417,0.546,,,,,,
26.480,24.311,27.814,0.156,0.077,0.152,-0.036,-0.028,-0.042,0.291,0.305,0.323,,,,,,
23.817,21.628,25.051,-0.269,-0.240,-0.228,0.012,0.030,0.011,0.442,0.398,0.545,,,,,,
26.620,22.915,26.934,-0.049,-0.036,0.007,0.013,0.001,-0.017,0.526,0.479,0.512,,,,,,
26.045,23.878,27.825,0.095,0.031,0.165,-0.023,-0.042,-0.050,0.310,0.282,0.241,,,,,,
25.102,22.843,26.425,-0.020,-0.145,0.003,0.001,0.036,-0.008,0.479,0.585,0.490,,,,,,
27.701,23.814,28.783,0.114,0.041,-0.018,0.002,0.009,-0.005,0.443,0.448,0.557,,,,,,
28.945,22.202,27.543,0.043,-0.073,-0.164,-0.001,0.016,0.015,0.483,0.521,0.685,,,,,,
23.762,21.584,24.507,-0.207,-0.167,-0.181,0.027,0.014,0.011,0.588,0.478,0.566,,,,,,
25.577,25.180,28.112,0.018,0.054,0.274,-0.003,-0.008,-0.058,0.406,0.313,0.210,,,,,,
26.455,24.748,27.899,-0.049,0.054,0.008,-0.018,-0.032,-0.032,0.370,0.300,0.361,,,,,,
26.394,24.692,26.785,0.056,0.003,-0.034,-0.010,-0.008,0.000,0.483,0.440,0.597,,,,,,
26.428,24.301,28.460,0.109,0.110,0.235,-0.003,-0.010,-0.067,0.428,0.338,0.208,,,,,,
25.974,22.943,25.791,0.039,-0.013,-0.029,0.000,0.001,-0.007,0.468,0.432,0.537,,,,,,
25.993,22.909,27.347,0.027,-0.067,-0.069,0.002,0.006,0.005,0.435,0.487,0.557,,,,,,
24.721,23.437,27.106,-0.023,0.101,0.150,-0.024,-0.029,-0.052,0.382,0.290,0.255,,,,,,
25.608,23.840,26.527,0.059,0.006,0.026,-0.015,0.005,-0.013,0.331,0.399,0.483,,,,,,
25.722,23.782,27.039,-0.076,-0.124,-0.176,0.013,0.017,0.024,0.522,0.497,0.644,,,,,,
29.025,25.181,26.946,0.095,0.116,-0.068,-0.009,-0.029,-0.002,0.321,0.310,0.522,,,,,,
26.860,23.827,28.551,0.062,-0.010,-0.084,0.003,-0.012,-0.006,0.422,0.424,0.565,,,,,,
28.128,23.384,29.483,0.029,0.046,0.015,-0.018,0.001,-0.021,0.439,0.432,0.339,,,,,,
25.967,21.580,26.336,0.062,-0.094,-0.128,-0.020,0.003,0.011,0.478,0.484,0.611,,,,,,
25.812,21.800,26.196,-0.062,-0.137,-0.193,0.013,0.026,0.018,0.574,0.526,0.667,,,,,,
23.362,22.041,26.449,0.022,-0.058,-0.046,0.001,0.007,0.006,0.468,0.459,0.606,,,,,,
25.625,24.317,28.460,0.146,0.046,0.112,-0.051,-0.028,-0.059,0.253,0.277,0.223,,,,,,
25.148,22.098,26.027,0.067,0.102,-0.074,-0.009,-0.004,0.001,0.397,0.336,0.557,,,,,,
26.060,24.323,28.531,0.205,0.131,0.245,-0.051,-0.059,-0.065,0.215,0.216,0.212,,,,,,
25.147,23.400,25.927,0.089,-0.013,0.009,-0.018,-0.010,-0.028,0.400,0.399,0.407,,,,,,
26.465,23.882,28.354,0.135,0.115,0.141,-0.025,-0.035,-0.050,0.343,0.257,0.266,,,,,,
24.001,21.699,26.052,-0.150,-0.181,-0.217,0.026,0.026,0.014,0.569,0.562,0.634,,,,,,
24.241,23.785,27.633,-0.103,-0.024,-0.146,0.038,0.013,0.026,0.550,0.492,0.664,,,,,,
25.124,22.952,27.430,-0.035,-0.080,0.087,-0.005,-0.014,-0.038,0.443,0.415,0.317,,,,,,
26.027,23.400,27.613,0.020,-0.038,-0.003,-0.011,-0.003,-0.031,0.365,0.399,0.401,,,,,,
27.755,24.277,27.767,0.082,0.033,0.001,-0.013,-0.001,0.011,0.320,0.400,0.568,,,,,,
27.781,23.381,27.065,0.017,0.031,0.112,0.004,0.003,-0.029,0.513,0.437,0.374,,,,,,
26.006,22.989,27.181,0.029,0.068,-0.047,0.014,-0.012,-0.003,0.412,0.321,0.528,,,,,,
27.719,22.942,28.284,0.105,0.025,-0.120,0.000,0.019,-0.002,0.411,0.433,0.591,,,,,,
24.529,21.265,25.899,-0.145,-0.143,-0.218,0.041,0.026,0.021,0.616,0.517,0.652,,,,,,
27.336,26.043,29.134,0.058,0.025,0.172,-0.051,-0.008,-0.079,0.294,0.320,0.231,,,,,,
29.031,22.485,29.282,0.074,-0.120,-0.001,0.000,0.032,-0.032,0.296,0.459,0.318,,,,,,
25.122,23.360,25.205,0.083,-0.041,-0.036,-0.004,-0.004,-0.021,0.448,0.472,0.445,,,,,,
27.328,24.290,26.987,0.156,0.049,0.079,-0.022,-0.005,-0.029,0.324,0.369,0.400,,,,,,
24.958,22.784,25.563,-0.365,-0.275,-0.342,0.004,0.034,-0.009,-0.076,-0.037,-0.090,,,,,,
29.829,23.800,28.171,0.047,-0.034,0.007,0.003,0.019,-0.011,0.409,0.470,0.490,,,,,,
26.437,22.529,27.236,0.107,0.050,0.142,-0.003,-0.008,-0.050,0.410,0.372,0.254,,,,,,
25.608,23.878,27.945,0.078,0.135,0.164,-0.030,-0.016,-0.055,0.330,0.282,0.244,,,,,,
25.776,23.364,27.123,-0.055,-0.083,-0.130,0.012,0.019,0.006,0.528,0.465,0.614,,,,,,
23.809,21.471,24.872,-0.004,-0.197,-0.019,-0.010,0.030,-0.019,0.456,0.539,0.479,,,,,,
28.180,25.171,27.755,0.121,0.083,-0.070,-0.019,-0.012,-0.028,0.321,0.340,0.457,,,,,,
28.574,25.161,27.875,0.122,0.067,0.061,-0.013,-0.015,-0.023,0.395,0.369,0.424,,,,,,
25.170,23.083,27.038,-0.029,-0.070,-0.115,0.012,0.006,0.016,0.555,0.521,0.626,,,,,,
26.026,23.877,26.757,0.111,0.008,-0.029,0.000,0.007,-0.015,0.369,0.286,0.438,,,,,,
24.921,21.394,25.311,-0.489,-0.417,-0.397,0.051,0.003,0.004,-0.027,0.001,-0.087,,,,,,
26.436,23.819,26.144,0.109,0.003,0.079,-0.021,-0.001,-0.039,0.412,0.439,0.357,,,,,,
27.337,23.826,28.421,0.116,-0.032,0.131,0.001,0.008,-0.022,0.290,0.425,0.275,,,,,,
27.347,26.953,28.165,0.207,0.185,0.195,-0.047,-0.048,-0.057,0.208,0.167,0.229,,,,,,
24.220,22.929,28.537,-0.070,-0.056,0.105,0.012,-0.004,-0.019,0.496,0.456,0.303,,,,,,
25.991,24.716,26.316,0.000,0.040,-0.005,0.000,-0.007,-0.026,0.504,0.392,0.428,,,,,,
27.741,23.845,26.883,0.112,0.059,-0.123,-0.027,-0.015,-0.016,0.362,0.386,0.467,,,,,,
23.367,22.484,25.700,-0.125,-0.126,0.096,0.004,0.011,-0.034,0.461,0.461,0.394,,,,,,
28.144,22.959,28.426,0.015,0.020,0.022,-0.010,-0.001,-0.006,0.409,0.399,0.480,,,,,,
27.338,23.869,26.960,0.084,0.039,-0.007,-0.035,-0.001,-0.026,0.285,0.321,0.457,,,,,,
26.571,24.305,26.287,0.011,0.066,0.000,-0.010,-0.016,-0.016,0.521,0.327,0.462,,,,,,
25.608,24.313,28.585,0.081,0.027,0.133,-0.022,-0.021,-0.058,0.328,0.296,0.247,,,,,,
24.307,23.875,29.910,-0.193,0.104,0.215,0.007,-0.032,-0.068,0.510,0.298,0.195,,,,,,
23.358,22.476,26.620,-0.046,-0.135,-0.186,0.012,0.025,0.023,0.474,0.550,0.673,,,,,,
25.115,22.910,26.820,0.026,-0.041,-0.091,0.002,0.007,0.016,0.459,0.487,0.590,,,,,,
25.589,22.940,27.631,0.084,-0.050,-0.134,-0.010,0.013,0.021,0.381,0.437,0.640,,,,,,
26.466,24.754,28.683,0.030,0.071,0.193,-0.013,-0.030,-0.058,0.342,0.272,0.249,,,,,,
24.678,22.030,27.347,-0.032,-0.037,-0.081,0.013,0.003,0.019,0.464,0.477,0.627,,,,,,
26.019,25.580,28.398,-0.009,0.067,0.094,-0.006,-0.051,-0.039,0.385,0.199,0.307,,,,,,
27.747,23.851,27.819,0.128,0.095,0.029,-0.008,-0.001,-0.019,0.345,0.372,0.480,,,,,,
24.934,21.372,25.578,-0.434,-0.337,-0.394,-0.002,0.064,0.004,-0.057,0.078,-0.040,,,,,,
25.093,22.225,27.008,-0.085,-0.107,-0.180,0.014,-0.008,0.022,0.492,0.524,0.660,,,,,,
28.025,23.680,27.954,-0.150,-0.038,0.010,-0.035,0.012,-0.036,0.055,0.083,0.038,,,,,,
27.737,23.430,26.642,0.119,0.006,0.116,-0.015,-0.022,-0.041,0.371,0.320,0.297,,,,,,
26.900,23.373,27.459,0.069,-0.027,0.019,-0.024,0.006,-0.006,0.325,0.450,0.492,,,,,,
26.879,23.813,28.634,0.076,-0.007,-0.070,-0.011,-0.003,0.015,0.383,0.449,0.631,,,,,,
28.568,24.288,27.720,0.049,0.089,0.117,0.002,0.010,-0.042,0.409,0.373,0.337,,,,,,
26.038,23.861,28.376,0.150,0.000,-0.036,-0.010,-0.024,-0.022,0.337,0.345,0.433,,,,,,
25.617,24.316,27.666,0.085,0.089,0.105,-0.035,-0.021,-0.045,0.295,0.282,0.320,,,,,,
23.349,22.320,26.642,-0.009,-0.145,-0.137,0.001,0.016,0.009,0.488,0.534,0.603,,,,,,
26.845,23.364,27.356,0.058,-0.007,-0.107,-0.006,0.006,0.014,0.447,0.465,0.637,,,,,,
28.195,23.856,27.034,0.216,0.116,0.002,-0.022,-0.003,-0.019,0.249,0.361,0.449,,,,,,
29.967,22.323,25.550,0.312,-0.349,-0.390,-0.041,0.012,-0.008,0.178,0.035,-0.092,,,,,,
26.029,22.069,26.388,0.068,0.010,-0.039,-0.023,0.018,0.002,0.362,0.408,0.526,,,,,,
25.573,23.406,25.798,0.058,0.034,0.019,-0.014,-0.010,-0.014,0.414,0.385,0.434,,,,,,
25.998,23.793,27.983,0.055,-0.029,-0.043,0.002,-0.013,-0.005,0.427,0.481,0.545,,,,,,
25.110,22.973,25.808,0.069,0.013,0.027,0.002,-0.016,-0.034,0.467,0.367,0.401,,,,,,
25.096,22.929,30.090,-0.022,-0.003,0.064,-0.010,-0.003,-0.018,0.489,0.457,0.329,,,,,,
31.417,22.929,27.318,0.071,-0.036,0.001,-0.016,0.020,-0.003,0.108,0.456,0.509,,,,,,
25.111,22.969,26.481,-0.132,0.044,0.087,0.015,-0.012,-0.041,0.503,0.378,0.327,,,,,,
26.487,24.760,28.723,0.194,0.145,0.214,-0.053,-0.058,-0.067,0.249,0.219,0.222,,,,,,
25.967,23.365,27.430,0.007,-0.019,-0.006,0.002,0.008,-0.012,0.479,0.463,0.526,,,,,,
26.450,23.427,28.582,0.025,0.012,0.108,-0.035,-0.024,-0.043,0.383,0.329,0.290,,,,,,
29.042,23.407,27.218,0.171,-0.001,0.015,-0.012,0.002,-0.035,0.218,0.384,0.428,,,,,,
25.612,24.317,27.828,0.019,0.039,0.053,-0.035,-0.024,-0.040,0.315,0.276,0.332,,,,,,
24.071,21.670,25.485,-0.100,-0.197,-0.220,0.004,0.012,-0.004,0.054,0.255,0.225,,,,,,
28.600,23.855,27.722,0.127,0.061,0.029,-0.008,-0.011,-0.012,0.330,0.364,0.487,,,,,,
26.622,22.722,28.412,-0.054,-0.112,-0.168,0.000,0.029,0.028,0.569,0.530,0.685,,,,,,
26.434,22.505,26.612,0.004,-0.122,-0.001,-0.006,0.001,-0.041,0.416,0.423,0.388,,,,,,
26.414,22.038,27.337,0.098,0.012,-0.030,0.000,0.006,0.004,0.451,0.465,0.586,,,,,,
24.296,22.743,25.560,-0.094,-0.091,-0.105,0.019,0.018,0.012,0.352,0.532,0.542,,,,,,
27.333,24.321,30.030,0.189,0.174,0.239,-0.027,-0.041,-0.070,0.307,0.248,0.194,,,,,,
25.192,24.322,26.770,0.125,0.097,-0.085,-0.039,-0.044,-0.012,0.246,0.237,0.481,,,,,,
32.697,24.257,27.344,0.170,-0.009,0.008,-0.023,0.001,-0.010,0.190,0.438,0.480,,,,,,
26.051,24.757,27.895,0.182,0.105,0.000,-0.037,-0.042,-0.020,0.287,0.253,0.457,,,,,,
26.020,24.751,26.352,0.137,0.140,-0.014,-0.008,-0.007,-0.003,0.382,0.287,0.520,,,,,,
26.468,24.274,27.309,0.090,0.003,-0.065,0.001,-0.006,-0.009,0.336,0.406,0.544,,,,,,
24.394,22.015,26.489,-0.065,-0.117,-0.226,0.027,0.027,0.022,0.520,0.499,0.662,,,,,,
24.692,22.527,26.665,0.082,0.019,-0.065,0.001,0.007,-0.004,0.440,0.377,0.458,,,,,,
28.148,25.144,27.428,-0.003,-0.012,-0.078,0.001,0.004,0.004,0.401,0.406,0.576,,,,,,
25.144,23.868,26.966,-0.015,0.091,0.062,0.013,0.007,-0.018,0.407,0.324,0.365,,,,,,
26.616,23.410,26.692,-0.054,0.050,-0.011,0.013,-0.003,-0.011,0.526,0.377,0.455,,,,,,
26.424,22.964,25.968,0.070,0.024,-0.050,0.000,-0.003,0.004,0.434,0.390,0.562,,,,,,
25.174,23.446,27.546,0.056,0.095,0.142,-0.028,-0.038,-0.054,0.334,0.229,0.235,,,,,,
23.416,21.628,25.744,0.190,-0.112,-0.192,-0.008,-0.004,-0.002,0.362,0.400,0.398,,,,,,
27.262,22.517,27.934,0.031,0.026,-0.083,0.000,-0.001,0.000,0.465,0.400,0.581,,,,,,
25.999,25.184,29.799,-0.046,0.030,0.272,0.005,-0.019,-0.057,0.425,0.295,0.195,,,,,,
25.585,22.978,26.333,0.078,0.045,-0.107,-0.026,-0.010,-0.009,0.389,0.355,0.507,,,,,,
33.501,24.292,29.643,0.206,0.119,0.089,-0.013,0.001,-0.029,0.158,0.365,0.368,,,,,,
26.389,22.501,28.364,0.004,-0.064,-0.162,0.014,-0.016,0.013,0.491,0.432,0.614,,,,,,
24.702,22.036,26.331,-0.103,-0.187,-0.192,0.050,0.029,0.013,0.421,0.467,0.574,,,,,,
25.587,22.521,26.076,0.131,0.031,-0.083,-0.017,-0.003,0.010,0.385,0.391,0.587,,,,,,
26.444,22.090,25.989,0.046,-0.017,-0.014,0.002,-0.004,-0.013,0.395,0.360,0.457,,,,,,
29.868,24.750,27.037,0.176,0.089,0.108,-0.014,-0.021,-0.050,0.307,0.293,0.384,,,,,,
26.021,23.845,29.022,0.091,0.052,0.109,-0.006,-0.012,-0.024,0.381,0.386,0.369,,,,,,
27.745,22.524,26.621,0.117,0.013,0.026,-0.016,-0.007,-0.020,0.352,0.384,0.463,,,,,,
27.770,24.756,30.864,0.220,0.127,0.209,-0.055,-0.036,-0.058,0.247,0.257,0.198,,,,,,
25.704,22.915,26.895,0.007,-0.026,-0.046,0.012,0.006,0.001,0.520,0.479,0.614,,,,,,
26.021,22.959,26.396,0.024,0.064,0.010,0.001,-0.001,-0.015,0.508,0.399,0.435,,,,,,
25.527,22.475,26.651,0.051,-0.076,-0.208,0.012,0.028,0.016,0.492,0.476,0.649,,,,,,
25.590,22.542,27.333,-0.003,0.011,0.044,0.003,-0.010,-0.042,0.379,0.337,0.349,,,,,,
29.436,22.521,27.366,0.074,0.003,-0.192,-0.013,-0.003,0.005,0.349,0.391,0.588,,,,,,
27.338,23.442,27.147,0.110,0.085,0.118,-0.053,-0.043,-0.035,0.286,0.263,0.303,,,,,,
25.582,23.404,27.000,-0.008,0.058,-0.081,0.012,0.008,0.011,0.507,0.390,0.619,,,,,,
26.912,23.880,27.899,0.127,0.098,0.107,-0.048,-0.041,-0.047,0.276,0.273,0.281,,,,,,
23.814,21.616,25.877,0.015,-0.069,0.012,-0.009,0.021,-0.023,0.447,0.423,0.407,,,,,,
29.124,26.192,31.202,0.305,0.273,0.322,-0.068,-0.052,-0.063,0.166,0.179,0.178,,,,,,
23.816,22.429,26.374,-0.222,-0.189,-0.198,0.028,0.028,0.021,0.593,0.545,0.642,,,,,,
25.917,22.503,27.622,-0.068,-0.032,0.002,0.026,-0.003,-0.022,0.543,0.428,0.499,,,,,,
25.154,22.958,25.157,0.025,-0.104,0.014,0.001,-0.004,-0.017,0.384,0.507,0.505,,,,,,
26.886,23.442,27.873,0.088,0.110,0.181,-0.030,-0.037,-0.051,0.365,0.261,0.254,,,,,,
25.511,22.756,28.337,-0.029,-0.112,-0.098,0.011,0.002,0.009,0.546,0.533,0.627,,,,,,
25.534,22.966,26.229,0.027,0.018,0.090,0.014,-0.004,-0.039,0.482,0.384,0.346,,,,,,
25.164,22.541,27.112,0.040,0.009,0.040,-0.034,-0.024,-0.041,0.360,0.338,0.398,,,,,,
29.463,23.429,26.146,0.107,0.073,0.037,-0.027,-0.002,-0.019,0.213,0.323,0.463,,,,,,
24.700,22.919,27.979,-0.040,-0.049,-0.110,0.015,0.018,0.010,0.424,0.473,0.615,,,,,,
24.749,22.453,27.125,-0.059,-0.131,0.075,0.040,0.024,-0.047,0.511,0.548,0.383,,,,,,
26.864,22.959,25.977,0.025,-0.007,-0.009,-0.026,0.004,-0.023,0.414,0.400,0.422,,,,,,
26.467,22.983,28.252,0.100,0.042,0.075,-0.028,-0.018,-0.039,0.338,0.341,0.296,,,,,,
26.409,26.043,28.088,0.062,0.095,0.102,-0.019,-0.012,-0.052,0.460,0.320,0.350,,,,,,
26.846,24.256,27.474,0.036,-0.023,0.083,0.001,-0.003,-0.044,0.504,0.440,0.346,,,,,,
23.368,22.517,26.442,0.003,0.017,0.118,0.001,-0.003,-0.032,0.459,0.400,0.371,,,,,,
27.736,22.911,28.358,0.129,-0.056,-0.054,-0.011,0.027,0.000,0.373,0.485,0.565,,,,,,
25.119,23.814,26.985,-0.002,0.012,-0.088,0.027,-0.012,0.011,0.453,0.447,0.620,,,,,,
25.149,22.554,26.312,0.065,0.103,0.098,-0.017,-0.023,-0.048,0.396,0.291,0.316,,,,,,
27.759,24.310,28.908,0.110,0.122,0.079,-0.035,-0.006,-0.038,0.305,0.308,0.300,,,,,,
24.531,22.168,26.578,-0.129,-0.137,-0.215,0.011,0.027,0.025,0.534,0.518,0.663,,,,,,
25.517,22.451,26.511,-0.052,-0.205,-0.173,0.012,0.024,0.020,0.546,0.590,0.637,,,,,,
24.250,22.981,26.373,-0.159,-0.049,-0.197,0.015,-0.021,0.001,0.450,0.347,0.515,,,,,,
26.052,24.308,27.340,0.157,-0.027,0.128,-0.030,-0.046,-0.057,0.278,0.314,0.260,,,,,,
27.690,23.842,28.014,0.041,0.044,0.126,-0.007,-0.015,-0.042,0.461,0.393,0.341,,,,,,
26.820,22.480,26.289,-0.047,-0.088,-0.120,0.013,0.015,0.002,0.488,0.467,0.551,,,,,,
26.385,23.192,27.747,-0.026,-0.102,-0.101,0.012,0.009,0.016,0.546,0.533,0.656,,,,,,
28.193,25.172,28.154,0.132,0.064,0.080,-0.036,-0.030,-0.017,0.258,0.340,0.382,,,,,,
24.681,21.572,25.806,-0.032,-0.145,-0.215,0.014,0.015,0.017,0.459,0.497,0.641,,,,,,
25.544,22.073,25.719,0.055,-0.001,-0.098,0.013,-0.015,0.001,0.466,0.399,0.563,,,,,,
24.910,21.834,25.297,-0.458,-0.368,-0.394,0.051,0.046,0.002,-0.036,0.055,-0.050,,,,,,
26.677,22.750,26.482,-0.380,-0.194,-0.282,0.023,0.043,-0.008,-0.028,0.080,-0.025,,,,,,
24.841,22.520,25.802,-0.099,-0.051,-0.127,0.025,-0.019,-0.003,0.565,0.393,0.499,,,,,,
26.028,23.874,28.064,0.130,0.056,0.015,-0.009,-0.014,-0.019,0.363,0.303,0.446,,,,,,
23.354,21.594,26.181,-0.050,-0.052,-0.206,0.028,0.007,0.024,0.481,0.463,0.658,,,,,,
26.006,24.314,26.641,0.102,0.151,0.092,-0.006,-0.014,-0.022,0.412,0.292,0.369,,,,,,
23.534,21.143,24.014,-0.148,-0.187,-0.169,0.010,0.015,0.007,0.522,0.470,0.528,,,,,,
24.556,21.253,25.373,-0.153,-0.206,-0.228,0.042,0.014,0.013,0.580,0.515,0.614,,,,,,
27.326,22.964,29.869,0.075,0.003,0.029,0.002,0.019,-0.024,0.331,0.390,0.274,,,,,,
26.017,23.364,28.291,-0.003,-0.075,-0.078,0.014,0.006,0.007,0.507,0.466,0.612,,,,,,
26.041,25.180,30.209,0.145,0.087,0.228,-0.020,-0.015,-0.084,0.326,0.310,0.181,,,,,,
24.232,24.235,27.082,-0.005,-0.024,-0.143,0.025,-0.008,0.019,0.502,0.474,0.656,,,,,,
25.974,23.395,25.645,-0.028,-0.085,-0.012,0.027,-0.008,-0.012,0.469,0.409,0.478,,,,,,
25.375,21.837,25.539,-0.456,-0.280,-0.397,0.026,0.065,0.002,-0.098,0.026,-0.060,,,,,,
28.573,23.851,28.769,0.093,0.107,0.085,-0.007,-0.001,-0.034,0.398,0.373,0.304,,,,,,
26.041,22.968,25.720,0.106,-0.058,0.063,-0.027,-0.009,-0.019,0.325,0.381,0.387,,,,,,
27.360,22.607,27.012,0.004,-0.142,-0.183,0.003,0.010,-0.001,0.514,0.517,0.587,,,,,,
23.773,22.057,25.866,-0.212,-0.188,-0.173,0.027,0.012,-0.007,0.589,0.431,0.563,,,,,,
27.288,23.873,26.174,0.038,0.090,0.023,0.014,-0.023,-0.045,0.420,0.306,0.372,,,,,,
24.922,21.836,25.505,-0.432,-0.328,-0.345,0.051,0.065,-0.005,-0.028,0.080,-0.051,,,,,,
22.991,22.561,27.520,0.025,0.076,0.133,-0.026,-0.021,-0.048,0.313,0.248,0.237,,,,,,
26.896,24.751,26.907,0.144,0.153,0.061,-0.035,-0.024,-0.010,0.339,0.287,0.496,,,,,,
25.095,23.804,27.584,-0.044,-0.019,-0.022,0.014,0.012,-0.023,0.489,0.464,0.401,,,,,,
26.482,24.753,29.424,0.204,0.081,0.266,-0.030,-0.042,-0.060,0.282,0.276,0.200,,,,,,
24.283,22.106,26.494,0.093,0.011,0.147,-0.014,-0.026,-0.052,0.385,0.307,0.269,,,,,,
27.728,23.855,27.085,0.110,0.088,0.134,-0.010,-0.001,-0.023,0.392,0.363,0.352,,,,,,
27.333,23.422,26.721,0.207,0.099,0.032,0.004,-0.022,-0.014,0.307,0.345,0.455,,,,,,
24.973,21.833,27.915,-0.081,-0.151,-0.114,0.011,0.016,0.024,0.535,0.530,0.645,,,,,,
29.879,25.615,26.700,0.105,0.089,-0.001,-0.025,-0.021,-0.017,0.249,0.303,0.462,,,,,,
24.256,22.902,26.826,0.003,-0.097,-0.003,-0.014,0.018,-0.001,0.440,0.498,0.547,,,,,,
